url,titulo,descricao,quantidade_cama,preco_por_noite,estrelas,quantidade_avaliacoes
https://a0.muscache.com/im/pictures/593cd04e-ef60-4872-a225-b759892d3f40.jpg?im_w=720,Apartamento em João Pessoa,Melhor área do Bessa!,2,271,0,0
https://a0.muscache.com/im/pictures/prohost-api/Hosting-51868932/original/8602c58d-c84e-4c5e-9b96-40af1ce20082.jpeg?im_w=960,Apartamento em Cabo Branco,Sunrise Blue Suites Luxo / com vista do mar e varanda,2,254,"4,66",62
https://a0.muscache.com/im/pictures/prohost-api/Hosting-30557598/original/fc217b5c-738c-4e09-a448-dd417c179698.jpeg?im_w=960,Apartamento em Cabo Branco,Amplo Apartamento -Menos de 150mt da Beira Mar da Praia Cabo Branco,7,319,"4,95",62
https://a0.muscache.com/im/pictures/d01d9a8e-d89f-4054-aa75-91850a26fc37.jpg?im_w=960,Apartamento em Manaíra,Conforto A BEIRA MAR de Manaíra.,1,177,"4,72",54
https://a0.muscache.com/im/pictures/bcc82c9f-102c-4363-b6da-210157b5eeb7.jpg?im_w=320,Apartamento em Manaíra,EXCELENTE 522 FLAT NA ORLA DA PRAIA DE MANAÍRA,1,132,"4,96",25
https://a0.muscache.com/im/pictures/d4988e3b-2895-42b2-bf69-bebe148e372b.jpg?im_w=320,Quarto inteiro em Tambaú,Tambau Beach Apartamento Hotel Manos Royal,2,229,"4,61",28
https://a0.muscache.com/im/pictures/1c8b22a5-c2ed-4133-b9b4-7c14d6c4b010.jpg?im_w=320,Quarto de hotel em Cabo Branco,Marinas Praia Flat Jampa,2,236,"4,73",135
https://a0.muscache.com/im/pictures/prohost-api/Hosting-771698788561309557/original/87bdaf39-6c02-46c2-a743-8f7c1ef82839.jpeg?im_w=320,Condomínio em João Pessoa,Equipado apartamento no Jardins do Atlântico por Carpediem,4,375,0,0
https://a0.muscache.com/im/pictures/prohost-api/Hosting-797101419420319034/original/cefff306-a8b6-4337-8b48-e328b14f4686.jpeg?im_w=320,Quarto de hotel em João Pessoa,Flat com varanda a beira-mar,1,235,0,0
https://a0.muscache.com/im/pictures/prohost-api/Hosting-783533317298708032/original/99d5ca7d-6708-4189-bca2-16ca88e6e4c3.jpeg?im_w=320,Apartamento em João Pessoa,Caribessa Flamboyant,2,419,"4,75",4
https://a0.muscache.com/im/pictures/prohost-api/Hosting-761516648956836800/original/011b00a9-5911-4d12-a5c0-700654b8560c.jpeg?im_w=320,Apartamento em João Pessoa,Bessa Beach Inn Ideal para Famílias,4,266,0,2
https://a0.muscache.com/im/pictures/80d0fe4b-9fb2-4c79-a353-0341f6f3c68a.jpg?im_w=320,Apartamento em Jardim Oceania,Flat Atlântico Norte - Joao Pessoa - 200m da praia,2,123,"4,77",70
https://a0.muscache.com/im/pictures/46ad862b-cb8f-4dae-b48a-380575c99822.jpg?im_w=320,Quarto inteiro em João Pessoa,Seu espaço encantado e sossegado,1,101,0,0
https://a0.muscache.com/im/pictures/b62301ba-78f1-4549-ba10-8c0b55d65291.jpg?im_w=320,Loft em Tambauzinho,"Loft bem localizado, equipado e seguro",1,80,"4,64",11
https://a0.muscache.com/im/pictures/5b5a5167-6790-43fe-9c90-deef67e54cca.jpg?im_w=320,Apartamento em João Pessoa,Apartamento com piscina,3,159,5,7
https://a0.muscache.com/im/pictures/miso/Hosting-694327522442839380/original/6fcde911-880f-43b9-b586-950e4b2a13bf.jpeg?im_w=320,Condomínio em João Pessoa,Condomínio próximo à saída para o Litoral Sul.,4,120,0,2
https://a0.muscache.com/im/pictures/prohost-api/Hosting-46789901/original/9b8e5ec9-3cb6-48e1-bc08-f3bf7277d20e.jpeg?im_w=320,Apartamento em Cabo Branco,"Luxor Paulo Miranda|Cabo Branco,Wi-Fi,Beira-Mar",3,296,"4,53",40
